en	is
why	af hverju
back	aftur
again	aftur
exactly	akkúrat
exact	akkúrat
completely	aldeilis
totally	aldeilis
never	aldrei
completely	algjörlega
everywhere	allsstaðar
all right	allt í lagi
always	alltaf
far too	alltof
much too	alltof
anyway	alltént
serioulsy	alvarlega
entirely	alveg
completely	alveg
for sure	alveg ábyggilega
certainly	alveg ábyggilega
by the way	annars
or else	annars
otherwise	annars
other	annars
else	annars
second	annars
pretty	ansi
rather	ansi
obviously	augljóslega
in addition to	auk þess
eastwards	austur
east	austur
east	austur
east	austursins
east	austri
east	austrið
east	austrinu
east	austurs
backwash	austur
backwash	austranna
backwash	austurs
backwash	austrar
backwash	austrum
backwash	austursins
backwash	austra
backwash	austrinum
backwash	austrarnir
backwash	austrunum
backwash	austri
backwash	austurinn
backwash	austrana
scoop	austur
scoop	austranna
scoop	austurs
scoop	austrar
scoop	austrum
scoop	austursins
scoop	austra
scoop	austrinum
scoop	austrarnir
scoop	austrunum
scoop	austri
scoop	austurinn
scoop	austrana
easily	auðveldlega
of course	auðvitað
mainly	aðallega
just	aðeins
only	bara
just	bara
straight	beint
directly	beint
better	betur
soon	bráðum
literally	bókstaflega
reluctantly	dræmt
thoroughly	duglega
after	eftir
next	eftir
left	eftir
remaining	eftir
after	eftir
by	eftir
after	eftir
behind	eftir
along	eftir
according to	eftir
not	ei
actually	eiginlega
simply	einfaldlega
somewhere	einhversstaðar
especially	einkum
particularly	einkum
exactly	einmitt
precisely	einmitt
also	einnig
moreover	einnig
identical	eins
once	einu sinni
not	ekki
sob	ekki
sob	ekkanum
sob	ekkinn
sob	ekkum
sob	ekkar
sob	ekkanna
sob	ekka
sob	ekkana
sob	ekkans
sob	ekkarnir
sob	ekkunum
sob	ekkann
still	enn
furthermore	ennfremur
moreover	ennfremur
still	ennþá
island	ey
island	eyjunum
island	eyna
island	eyjanna
island	eyin
island	ey/ eyju
island	eyjum
island	eyjarnar
island	eyjarinnar
island	eynni/ eyjunni
island	eyjar
beautifully	fallega
forth	fram
forward	fram
