Darts, # proc, pi, time, error,  1000,1,3.14016,0.148737,-0.0014364
Darts, # proc, pi, time, error,  1000,2,3.14069,0.169263,-0.000905154
Darts, # proc, pi, time, error,  1000,4,3.146,0.230623,0.00440735
Darts, # proc, pi, time, error,  1000,8,3.14869,0.32072,0.00709485
Darts, # proc, pi, time, error,  1000,16,3.14403,0.669001,0.0024386
Darts, # proc, pi, time, error,  1000,32,3.13922,0.946674,-0.0023739
Darts, # proc, pi, time, error,  1000,64,3.14138,1.33966,-0.000217654
Darts, # proc, pi, time, error,  1e+06,1,3.14166,5.75551,6.55652e-05
Darts, # proc, pi, time, error,  1e+06,2,3.14198,2.96834,0.000388846
Darts, # proc, pi, time, error,  1e+06,4,3.14204,1.59143,0.000445253
Darts, # proc, pi, time, error,  1e+06,8,3.14156,1.05493,-3.28098e-05
Darts, # proc, pi, time, error,  1e+06,16,3.1415,0.96732,-9.66848e-05
Darts, # proc, pi, time, error,  1e+06,32,3.14129,1.11977,-0.000305091
Darts, # proc, pi, time, error,  1e+06,64,3.14158,1.45369,-1.14348e-05
