,gpus-per-task,ntasks-per-code,memory,exclusive,gpu_type,time,gpus,cores-per-socket,cpus-per-task,nodes,gpus-per-node,tasks,mem-per-gpu,gres-flags,mem-per-cpu,ntasks-per-socket,sockets-per-node,gres,ntasks-per-node,cpus-per-gpu,application
intbio/MolModEdu/MD/NAMD/nucl/nucleosome_CHARMM/simul/lomo_run_md.sh,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,namd
intbio/MolModEdu/GROMACS/biomembrane/burn_bilayer.sh,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,gromacs
C2SM/processing-chain/jobs/tools/reduce_output_parallel.bash,0.0,1.0,0.0,0.0,0.0,7200.0,0.0,0.0,36.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,python
jsbaan/DPAC-DialogueGAN/myscript.sh,0.0,0.0,0.0,0.0,0.0,600.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.0,0.0,python
jsbaan/DPAC-DialogueGAN/runscripts/job.sh,0.0,0.0,0.0,0.0,0.0,64800.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,python
MiiiRiii/FedMPI/KISTI_jobscript/fashionmnist_jobscript.sh,0.0,0.0,0.0,0.0,0.0,172800.0,0.0,0.0,0.0,0.0,0.0,68.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,singularity
MiiiRiii/FedMPI/KISTI_jobscript/cifar10_jobscript.sh,0.0,0.0,0.0,0.0,0.0,172800.0,0.0,0.0,0.0,0.0,0.0,68.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,singularity
MiiiRiii/FedMPI/KISTI_jobscript/jobscript.sh,0.0,0.0,0.0,0.0,0.0,172800.0,0.0,0.0,0.0,0.0,0.0,55.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,singularity
amaabalo/hpc4ml/lab1/run.s,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,lammps
lubiluk/cembra5/evolve_neat.sh,0.0,0.0,0.0,1.0,0.0,172800.0,0.0,0.0,24.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,ray
lubiluk/cembra5/evolve_cma.sh,0.0,0.0,0.0,1.0,0.0,18000.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,ray
lubiluk/cembra5/custom.sh,0.0,0.0,0.0,1.0,0.0,86400.0,0.0,0.0,24.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,ray
Lingy12/my_seaeval/scripts/convert_and_evaluate.sh,0.0,0.0,0.0,0.0,0.0,86400.0,1.0,0.0,0.0,0.0,0.0,16.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,bash
Grace-Austen/CPSC-8420-Machine-Learning-Project/run_full_data.sh,0.0,0.0,0.0,0.0,0.0,21600.0,0.0,0.0,0.0,0.0,0.0,32.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,matlab
Grace-Austen/CPSC-8420-Machine-Learning-Project/train_no_pca_models.sh,0.0,0.0,0.0,0.0,0.0,43200.0,0.0,0.0,0.0,0.0,0.0,32.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,matlab
Grace-Austen/CPSC-8420-Machine-Learning-Project/run_datamanip.sh,0.0,0.0,0.0,0.0,0.0,21600.0,0.0,0.0,0.0,0.0,0.0,32.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,matlab
renebidart/cancer_hist/src/submit_old/unet_dp_bn.sh,0.0,0.0,0.0,0.0,0.0,1440.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,tensorflow
renebidart/cancer_hist/src/submit_old/model_conv_incp3_192.sh,0.0,0.0,0.0,0.0,0.0,1440.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,tensorflow
renebidart/cancer_hist/src/submit_old/unet_standard.sh,0.0,0.0,0.0,0.0,0.0,1440.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,tensorflow
renebidart/cancer_hist/src/submit_old/reg_conv2_100.sh,0.0,0.0,0.0,0.0,0.0,1380.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,python
renebidart/cancer_hist/src/submit_old/reg_conv2_200.sh,0.0,0.0,0.0,0.0,0.0,1380.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,tensorflow
renebidart/cancer_hist/src/submit_old/model_conv_incp3_128.sh,0.0,0.0,0.0,0.0,0.0,1440.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,tensorflow
renebidart/cancer_hist/src/submit_old/gen_heat_128.sh,0.0,0.0,0.0,0.0,0.0,1440.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,python
